Country.Name	gini_index	pop_living_slums	poverty_headcount_1.9	rural_poverty_headcount	SI.DST.02ND.20	SI.DST.03RD.20	SI.DST.04TH.20	SI.DST.05TH.20	SI.DST.10TH.10	SI.DST.FRST.10	SI.DST.FRST.20	SI.POV.2DAY	SI.POV.GAP2	SI.POV.GAPS	SI.POV.NAGP	SI.POV.NAHC	SI.POV.RUGP	SI.POV.URGP	SI.SPR.PC40	SI.SPR.PC40.ZG	SI.SPR.PCAP	SI.SPR.PCAP.ZG	urban_poverty_headcount
Bolivia	48.4	43.5	6.81	57.6	8.7	13.73	21.27	52.71	36.41	1.01	3.59	12.69	5.77	3.24	16.8	38.6	30.5	10.5	4.2	6.3213	13.69	4.7846	30.6
Bosnia and Herzegovina	33.83	NA	0.07	NA	12.06	16.57	22.77	41.35	25.75	2.89	7.28	0.45	0.11	0.02	NA	17.9	NA	NA	NA	NA	NA	NA	NA
Botswana	60.46	59.2	18.24	24.3	5.69	9.54	16.89	65.04	49.61	1.05	2.84	35.74	13.96	5.78	NA	19.3	NA	NA	NA	NA	NA	NA	11
Brazil	51.48	22.3	3.66	NA	7.9	12.64	19.58	56.25	40.66	1.18	3.62	7.56	3.14	1.72	NA	7.4	NA	NA	5.34	6.1423	18.53	4.0735	NA
British Virgin Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brunei Darussalam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulgaria	36.01	NA	2.03	NA	12.2	16.59	22.35	42.7	27.38	2	6.16	4.7	1.68	0.77	NA	22	NA	NA	7.22	1.2904	15.73	1.3684	NA
Burkina Faso	35.3	65.8	43.73	47.5	11.69	15.05	20.64	44.32	29.6	3.6	8.31	74.65	30.78	11.07	9.7	40.1	11.6	2.9	NA	NA	NA	NA	13.7
Burundi	NA	57.9	NA	68.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.1	64.6	26.9	9.2	NA	NA	NA	NA	27.6
Cabo Verde	47.19	70.3	8.07	44.3	8.74	13.04	19.97	53.27	37.14	1.95	4.97	25.1	7.45	1.85	8.1	26.6	14.3	3.3	NA	NA	NA	NA	13.2
Cambodia	30.76	55.1	2.17	20.8	12.66	16.3	21.78	40.21	25.23	3.93	9.05	21.58	4.05	0.28	3.1	17.7	NA	NA	3.08	6.5234	5.36	3.8888	6.4
Cameroon	46.54	37.8	23.98	56.8	8.49	13.72	21.63	51.63	34.96	1.73	4.53	43.54	18.01	7.65	14.4	37.5	22.9	1.8	1.71	1.3282	5.27	3.7059	8.9
Canada	33.68	NA	NA	NA	12.39	16.79	22.75	40.97	25.74	2.68	7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cayman Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Central African Republic	56.24	93.3	66.26	69.4	6.99	11.12	17.71	60.85	46.22	1.21	3.33	82.27	49.5	33.08	33.1	62	35	29.8	NA	NA	NA	NA	49.6
Chad	43.32	88.2	38.43	52.5	9.71	14.8	21.83	48.81	32.44	1.78	4.86	64.82	29.68	15.29	19.7	46.7	22.6	6.6	NA	NA	NA	NA	20.9
Channel Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chile	50.45	NA	0.92	27.9	8.29	12.05	18.33	56.69	41.47	1.72	4.63	2.05	0.82	0.45	NA	14.4	NA	NA	7.65	5.5667	23.68	4.1341	12.4
China	42.16	25.2	1.85	7.2	9.76	14.85	22.25	47.9	31.43	2.05	5.23	11.09	2.52	0.35	NA	NA	NA	NA	NA	8.87	NA	8.23	NA
Colombia	53.5	13.1	5.68	40.3	7.38	11.84	19.31	58.11	42.16	1.1	3.36	13.2	5	2.31	10.3	27.8	15.7	8.7	3.98	5.7964	14.82	3.9717	24.1
Comoros	NA	69.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Congo, Dem. Rep.	42.1	74.8	77.08	64.9	9.98	14.49	21.62	48.36	31.99	2.09	5.54	90.7	56.96	39.17	26.1	63.6	26.4	25.6	0.58	9.5751	1.51	9.6265	61.6
Congo, Rep.	48.94	46.9	36.97	74.8	8.22	13.17	20.67	53.74	37.93	1.56	4.2	59.62	28.13	14.86	16.7	46.5	31.9	9.2	1.2	3.0674	3.86	4.517	NA
Costa Rica	48.53	5.5	1.61	27.9	8.31	12.87	20.83	53.8	36.85	1.47	4.2	3.93	1.42	0.69	8.8	21.7	11.9	7.6	6.95	1.2253	22.23	2.2421	19.4
Cote d'Ivoire	43.18	56	29.02	56.8	9.83	14.32	21.72	49.01	32.64	1.84	5.11	55.14	23.18	10.3	16.3	46.3	21.5	11.2	NA	NA	NA	NA	35.9
Croatia	32.51	NA	0.92	NA	12.72	17.27	23.67	39.46	23.87	2.48	6.87	2.24	0.86	0.57	NA	19.4	NA	NA	8.44	-5.3992	17.24	-5.347	NA
Cuba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Curacao	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyprus	34.31	NA	NA	NA	12.11	15.81	21.36	42.74	28.04	3.29	7.99	NA	NA	NA	NA	NA	NA	NA	23.57	-2.7524	46.91	-1.5763	NA
Czech Republic	26.13	NA	0.06	NA	14.52	17.9	21.92	36.12	22.17	3.87	9.55	0.3	0.1	0.08	NA	9.7	NA	NA	15.82	0.1509	26.3	0.3741	NA
Denmark	29.08	NA	NA	NA	14.03	17.48	22.26	37.75	23.47	2.84	8.48	NA	NA	NA	NA	NA	NA	NA	27.58	-0.7527	49.05	0.3154	NA
Djibouti	44.13	65.6	22.52	NA	9.68	14.55	20.88	49.97	34.1	1.71	4.92	43.05	17.21	7.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
